DonorID,DonorName,DonorAge,DonorGender,DonorLocation,DonationAmount,DonationDate,DonorEmail,ProjectID,ProjectName,ProjectStartDate,ProjectEndDate,ProjectLocation,ProjectBudget,ProjectManager,BeneficiaryID,BeneficiaryName,BeneficiaryAge,BeneficiaryGender,BeneficiaryLocation,ExpenseID,ExpenseDate,ExpenseCategory,ExpenseAmount,ExpenseDescription,VolunteerID,VolunteerName,VolunteerAge,VolunteerGender,VolunteerLocation,VolunteerHours,EventID,EventName,EventDate,EventLocation,EventParticipants,EventCost,PartnershipID,PartnerName,PartnershipStartDate,PartnershipEndDate,PartnershipType,PartnershipValue,Country,Region
473,Janet Marshall,20,Female,Fieldsbury,7468.2,2024-12-15,allison23@gomez.com,74,Ever war.,2024-12-25,2024-06-12,New Shanemouth,33678.28,Stephanie Patrick,52,Carmen Mclean,14,Male,Shepardview,448,2024-12-08,Training,49398.18,Particular before air action economy.,196,Jeffrey Reid,61,Male,Terryton,68.07,38,Great notice north.,2024-04-18,Lynnfurt,252,2832.49,34,Williams PLC,2024-12-01,2024-05-14,Sponsorship,75900.11,Guyana,Alabama
36,Brian Fernandez,20,Female,Sarahtown,4163.98,2024-05-02,traceyhubbard@yahoo.com,53,Other identify.,2024-04-28,2024-07-17,East Davidberg,126224.53,Michele Moran,371,Rodney Williams,18,Female,Herringstad,820,2024-08-15,Equipment,8998.09,Ball company enter.,67,Michael Casey,51,Female,Lutzberg,18.82,49,Need although one.,2024-09-06,Port Leslieland,108,5490.48,42,Carr-Burnett,2024-07-21,2024-03-02,Collaboration,94902.92,Russian Federation,Michigan
468,Karen Peters,52,Male,Port Zacharytown,9088.18,2024-11-11,pattersonmichael@rogers-gray.com,82,Carry understand.,2024-03-11,2024-10-11,North Matthew,103193.48,Amanda Brewer,358,James Williams,6,Female,Samanthaland,419,2024-01-21,Training,7323.14,Great top series public none.,117,Andre Lang,30,Female,Brownville,54.69,8,Have.,2024-01-09,South Christina,344,39352.07,1,Bryant-Spencer,2024-12-04,2024-09-26,Donation,59833.84,Lithuania,New Mexico
42,Kimberly Morales,68,Male,Anthonyhaven,5671.82,2024-02-07,michael17@moore.com,5,However.,2024-05-11,2024-03-01,East Greg,343648.07,Margaret Sanchez,450,Erin Johnson,13,Female,East Johnport,337,2024-03-07,Equipment,23704.58,Goal clear inside guy.,145,Karl Smith,55,Female,Lake Peterburgh,49.05,10,Ago.,2024-11-16,Williamton,34,11431.17,50,Berry and Sons,2024-10-29,2024-02-29,Collaboration,92070.45,Peru,Missouri
404,Jeffrey Mcintyre,39,Male,East Michael,4876.09,2024-03-25,andersonashlee@yahoo.com,13,Time early high.,2024-12-21,2024-06-02,Lake Timothy,140430.34,Andrea King,142,Jacqueline Johnson,16,Female,West Billy,330,2024-12-02,Supplies,33372.05,Who blood there any require.,7,Monica Bray,45,Male,Lake Stevenmouth,29.51,11,Future in.,2024-08-17,Kathleenville,487,3124.16,24,Thomas-Howard,2024-07-02,2024-09-01,Collaboration,22054.79,Malaysia,Wisconsin
28,Tyler Thompson,55,Male,Kennethton,129.95,2024-04-23,flemingjoseph@hotmail.com,27,Care book ground.,2024-01-13,2024-06-16,Fordland,327093.09,Kimberly Spencer,87,Christopher Johnson,5,Male,Kellyport,734,2024-11-04,Medical,33923.01,Range sort trial study significant.,68,Grace Mason,39,Male,South Tracey,83.42,48,Figure they yeah.,2024-05-14,Fryhaven,166,6692.94,27,Hess-Vega,2024-02-29,2024-02-27,Collaboration,28572.79,Albania,Pennsylvania
305,Veronica Keith,24,Female,New Dawn,6496.55,2024-07-18,haley92@miller-johnson.com,47,Five put hard.,2024-09-27,2024-04-08,Burnettbury,287980.7,Kristina Wilcox,40,Katie Blackwell,1,Female,New Robert,677,2024-03-21,Training,12272.35,Remain if again care hold.,113,Sydney Noble,23,Male,Cookhaven,89.95,30,Media.,2024-08-28,West Marissafort,292,30597.53,42,Kennedy-White,2024-07-29,2024-05-21,Sponsorship,58450.35,Cayman Islands,Maryland
437,Sydney Bryant,22,Male,Longchester,8111.91,2024-08-03,timothy14@ward.com,85,Statement carry.,2024-08-04,2024-03-18,North Michelleside,309717.45,Lindsay Klein,55,Kristin Baxter,11,Female,Lake Adambury,510,2024-11-21,Supplies,47855.63,Ever across great western.,88,Eric Henderson,65,Female,Tamaraberg,41.32,15,Very score.,2024-07-05,Justinberg,435,11780.35,50,Morales PLC,2024-12-03,2024-07-01,Sponsorship,99604.15,Denmark,Tennessee
364,Thomas Reynolds,40,Female,Saundersport,5502.93,2024-12-02,hberger@moore-cantu.com,44,Director race wish.,2024-06-29,2024-07-18,Whitneyshire,495523.26,Connie Ross,160,Mr. Michael Davis,11,Female,Macdonaldbury,841,2024-06-16,Equipment,43436.18,Offer American behavior.,52,Cassandra White,62,Male,Anthonyton,62.58,1,Movement can start.,2024-08-23,North Joyce,111,3723.55,1,"Mosley, Mathis and Jones",2024-03-09,2024-12-25,Collaboration,35696.52,Djibouti,Iowa
476,John Smith,31,Female,Cherryton,8053.26,2024-08-27,aguilarjane@yahoo.com,87,Political other begin.,2024-02-10,2024-10-04,West Andrewberg,420842.95,Mary Gray,294,Emma Fisher,17,Female,New Danielfort,128,2024-07-16,Training,48154.13,Like lawyer fund indicate help.,145,Samantha Boyer,47,Female,West Timothy,26.82,27,Likely.,2024-10-07,New Richardmouth,124,45960.9,28,King Group,2024-02-24,2024-03-29,Sponsorship,31640.84,Kazakhstan,Maine
185,Linda Noble,71,Female,East Kevinhaven,3177.62,2024-09-02,moorebenjamin@trujillo.com,53,Court hospital skin.,2024-11-07,2024-10-26,Pamhaven,460079.88,Garrett Stone,278,Linda Hamilton,16,Male,New Scott,249,2024-07-08,Training,34307.28,Such new cultural analysis care kitchen.,173,Mary Rodriguez,51,Female,Middletonport,57.78,44,Management court head.,2024-11-23,Jenniferfurt,234,31225.52,43,Singleton-Mcdonald,2024-02-26,2024-03-26,Donation,76577.9,Saudi Arabia,Delaware
385,Timothy Sampson,63,Male,West Janet,8776.67,2024-01-09,christophergutierrez@hotmail.com,53,Decision above you.,2024-02-22,2024-07-25,Parkerside,341379.42,Angela Cordova,253,Christina Jensen,12,Female,Christophertown,786,2024-11-09,Training,49606.02,Pass tend onto when.,95,David Watkins,35,Male,South Patrick,45.39,33,Direction opportunity very.,2024-01-18,West Courtney,298,30293.78,32,Moses PLC,2024-07-05,2024-06-17,Collaboration,81745.7,Ghana,Missouri
374,Audrey Lawson,26,Male,North David,8972.84,2024-06-15,sotojoseph@cooper.org,82,Seat my.,2024-01-24,2024-05-11,East Rebeccatown,312907.85,Deanna Taylor,51,Jennifer Gibbs,3,Female,Ashleyhaven,77,2024-11-30,Medical,10990.83,Campaign alone subject development best student.,56,Melissa Hayden MD,56,Female,Baileyview,99.31,47,Wind natural customer.,2024-06-29,Tonyaview,297,15365.64,43,Miller LLC,2024-04-29,2024-12-04,Collaboration,88304.1,Romania,Massachusetts
18,Adrian Pratt,28,Male,Tiffanyhaven,7636.78,2024-08-03,gdavis@hotmail.com,53,Ball woman.,2024-05-05,2024-03-08,Johnchester,89903.43,Donna Johnson,5,Debra Pitts,11,Male,Tiffanyport,50,2024-10-31,Medical,24011.51,Support realize cause others.,100,Kevin King,38,Male,Prestonville,51.88,28,College anything relationship.,2024-07-04,Johnsonland,167,7570.66,7,Strong Group,2024-01-06,2024-12-13,Sponsorship,53595.18,Sao Tome and Principe,Mississippi
270,Joseph Porter,35,Male,Reynoldston,4121.57,2024-03-04,johnwalker@yahoo.com,19,Necessary economy.,2024-01-11,2024-03-11,Port Lori,64862.53,Stephen Acevedo,125,Betty Whitaker,6,Female,New Vanessa,307,2024-11-06,Supplies,20079.22,Reveal so suggest.,16,James Hughes,42,Female,Garcialand,24.66,35,Way.,2024-11-16,North Suzannebury,391,13997.14,26,Craig-Rollins,2024-05-14,2024-09-14,Collaboration,37513.87,Indonesia,Kentucky
372,Philip Willis,65,Male,Port Brandon,9349.63,2024-11-27,steelejohn@strickland.net,38,Piece.,2024-02-27,2024-05-16,Michaelport,162155.04,Melissa Anderson,246,Taylor Foley,13,Female,Thomasmouth,143,2024-07-03,Medical,10662.09,Visit red forward table.,155,Kenneth Dominguez,50,Female,Emilyshire,31.71,16,Issue enter.,2024-03-06,Port Carla,397,43274.93,35,"Huff, Holland and Stark",2024-04-10,2024-06-17,Sponsorship,61079.73,Gabon,New Jersey
465,Amy Blair,34,Female,Vazqueztown,1772.35,2024-03-19,tiffany03@montgomery.com,79,Across yard.,2024-01-07,2024-01-09,Port Molly,427864.48,Cynthia Morrow,379,Henry Perkins,4,Male,Port Geraldside,280,2024-05-17,Medical,42057.31,That himself floor somebody.,128,Lisa Wagner,55,Male,North Brian,75.36,39,Race.,2024-09-08,New Christopher,168,47677.48,22,"Hendricks, Howe and Harvey",2024-10-04,2024-01-24,Donation,19032.06,Guadeloupe,Florida
162,Mary Hill,48,Female,Josephland,3371.45,2024-06-27,huntangelica@franklin-fisher.com,78,Short rather spend.,2024-10-27,2024-11-01,New Kiaraburgh,352427.29,Karen Parks,52,Jessica Hill,4,Male,Williamside,822,2024-01-30,Training,9328.65,American address simply.,36,Jennifer Bowers,48,Male,West Crystalberg,92.09,6,Popular see different.,2024-03-22,Melendeztown,34,14752.37,39,Anderson-Simon,2024-04-25,2024-06-06,Collaboration,68165.73,Iraq,Ohio
29,Jill Daniels,53,Female,Lake Jared,1460.32,2024-03-06,qroberts@powell.com,68,Then police.,2024-03-01,2024-10-27,Port Kathleen,269019.52,Zachary Ashley,4,Erica Thomas,3,Female,West Jamiemouth,340,2024-09-21,Supplies,2683.2,Like money ball keep since my.,142,Benjamin Robinson,59,Female,Poolehaven,57.39,21,These century.,2024-01-14,Newmanville,350,6039.99,5,"Adams, Turner and Mays",2024-12-03,2024-10-09,Donation,29018.55,Lesotho,Montana
303,Natasha Conway,47,Male,Jessehaven,1903.54,2024-01-15,matthew80@gmail.com,74,Little happy.,2024-10-24,2024-08-28,New Andrew,462543.07,Vanessa Hudson,21,Catherine Adams,16,Male,Smithbury,671,2024-09-11,Medical,10663.12,Sea thought raise suggest six claim.,12,Karen Barrett,28,Male,Dominguezshire,98.31,31,Trial religious.,2024-08-29,New Scott,306,27883.97,21,Bradley-Grimes,2024-09-01,2024-02-25,Donation,45128.41,Malawi,Nevada
201,James Allen,34,Female,New Brenda,1004.39,2024-12-26,vallen@hotmail.com,82,Focus century.,2024-10-22,2024-04-09,New Janet,259236.55,Stephanie Griffin,105,Lindsay Jacobs,3,Male,Conwayport,400,2024-04-16,Medical,45497.91,Dark such firm again court culture.,42,Judy King,36,Female,Barnesmouth,78.81,44,Approach trip throughout.,2024-05-09,Port Joseph,378,26269.19,36,Parker-Nolan,2024-11-27,2024-12-21,Collaboration,70224.21,Liberia,Mississippi
113,Ann Miller,68,Female,New Veronicashire,2341.29,2024-07-18,santanajimmy@gmail.com,13,Before open.,2024-06-01,2024-10-02,Port Patricia,345342.25,Tammy Schmidt,443,Diamond Moore,6,Male,East David,234,2024-04-10,Equipment,14314.65,Small certainly pattern daughter carry successful.,105,Catherine Harrell,19,Male,Amandafort,85.89,44,Sense scientist.,2024-02-01,Latoyabury,12,12315.79,10,Yang Ltd,2024-01-02,2024-06-11,Donation,24474.62,Brunei Darussalam,Georgia
249,Kathy Herring,60,Female,South Leslie,5368.86,2024-12-08,sheliawalsh@yahoo.com,87,Beyond majority.,2024-05-16,2024-07-28,Jefferyside,127998.37,Christopher Wilson,303,Anna Phelps,15,Female,South Jose,752,2024-07-27,Training,26953.75,Seven concern attention key.,84,Anthony Whitaker,42,Male,Dunnside,48.59,37,Prevent figure.,2024-06-21,Clarkborough,210,8143.51,6,Nichols Inc,2024-07-15,2024-09-18,Collaboration,88842.48,Lao People's Democratic Republic,West Virginia
335,Dakota Allen,56,Male,Russellside,3253.48,2024-03-23,travislee@palmer.com,71,Mind perform over.,2024-12-01,2024-09-05,Emilyfort,23956.94,Lindsey Johnson,177,Dr. Michaela Johnson,7,Female,Lewisborough,846,2024-01-03,Equipment,45208.6,Door line page.,167,Gary Le,60,Female,Natalieland,95.12,40,Step have.,2024-08-29,East Michellechester,481,14055.27,16,Washington and Sons,2024-07-19,2024-11-24,Sponsorship,61205.28,Norfolk Island,Mississippi
379,Ashley Morris,61,Female,West Rebeccaborough,8315.6,2024-03-18,vcurtis@yahoo.com,51,Character.,2024-06-20,2024-01-30,Crystalberg,258207.3,Sandra Burns,80,Sherri Jordan,7,Female,East Donaldside,434,2024-12-29,Equipment,13413.24,Stuff federal like be.,94,Annette Snyder,51,Female,North Michelleshire,96.49,6,Start say either.,2024-08-06,Martinville,357,41592.19,38,"Chan, Moore and Crawford",2024-12-28,2024-08-31,Collaboration,46175.08,Ecuador,Alabama
116,Kyle Wang,27,Male,Port Kathryn,3400.94,2024-11-14,garciacody@mcdonald.com,91,Center without.,2024-01-23,2024-05-14,Jonathanchester,181306.1,Alex Phillips,124,Brandon Le,8,Female,South Luis,896,2024-01-05,Equipment,2542.55,Inside mind without represent.,184,Kim Price,30,Female,Codyview,55.52,16,Tough fill.,2024-05-22,South Anthony,339,25675.64,29,Welch LLC,2024-07-17,2024-08-29,Sponsorship,74321.23,Sierra Leone,Nevada
240,Laura Holmes,28,Female,West Danielfurt,4175.7,2024-10-01,toddruiz@hotmail.com,52,Participant environmental.,2024-12-05,2024-03-07,East Matthewville,393074.29,Jessica Morris,369,Erin Chan,5,Female,East Michaelfort,453,2024-03-08,Medical,27541.45,Into job half black because.,116,Alan Lara,62,Male,Penabury,49.24,26,Instead push.,2024-04-25,West Joshua,73,43113.01,36,"Byrd, Smith and Thomas",2024-02-06,2024-05-11,Collaboration,40250.63,Sao Tome and Principe,Michigan
232,Dana Keith,54,Female,Greenburgh,3256.81,2024-06-23,garciadaniel@hotmail.com,27,Name may.,2024-04-26,2024-12-11,North Amyport,410508.58,Danielle Copeland,351,Christopher Marshall,6,Female,Bushshire,28,2024-08-05,Medical,11541.78,Administration but finally piece high.,66,Crystal Brewer,50,Female,Jacobtown,9.82,38,Wife owner exist.,2024-07-18,Thomasmouth,460,43070.93,48,"Mckee, Cooper and Rowe",2024-03-13,2024-12-07,Sponsorship,57203.11,Cyprus,New Jersey
166,Jacqueline Howell,62,Female,Emmatown,4812.24,2024-02-09,jamesprice@hotmail.com,78,Necessary allow including.,2024-06-30,2024-11-03,Richardsonborough,382155.03,Andrea Braun,338,Joseph Powers,18,Male,Austinborough,81,2024-06-15,Equipment,48273.88,Name response garden.,1,Edward Duran,44,Female,Padillaport,68.78,5,Before.,2024-05-14,Schneiderfurt,410,20899.01,42,"Juarez, Wise and Campbell",2024-06-04,2024-08-03,Donation,59788.94,Afghanistan,South Dakota
223,Megan Moore,61,Female,Hardinfurt,2211.86,2024-10-04,tkelley@yahoo.com,75,Get interesting.,2024-06-20,2024-04-30,Lake Jeremymouth,259673.46,Alexander Morgan,94,Kathleen Jones,4,Male,New Anthony,665,2024-03-10,Training,30876.18,Pressure would truth.,112,Cassie Sanders,37,Female,East Timothyville,25.7,43,List run.,2024-10-11,Kevinton,310,14767.84,18,Wolf-Jones,2024-10-24,2024-09-09,Donation,51198.61,Rwanda,Maine
113,Jordan Parker,31,Female,Liuchester,8397.19,2024-01-16,woodkenneth@smith.com,20,Test like ball cause.,2024-10-15,2024-08-05,Port Craig,72148.17,Lisa Guerrero,104,Taylor Reynolds,4,Male,Robbinsmouth,514,2024-10-09,Equipment,1874.21,Music catch head sure.,131,Mark Mullen,64,Female,North Jessica,49.43,25,More food recognize.,2024-07-31,Stoutbury,299,47189.65,45,Hernandez Group,2024-11-26,2024-10-28,Donation,96165.57,Haiti,West Virginia
146,Kathy Smith,18,Female,West Joy,663.27,2024-09-26,jacobpoole@webb.com,6,True goal.,2024-10-17,2024-05-05,Lake Cody,497313.06,Brianna King,98,Lisa Vaughn,12,Female,Hammondview,794,2024-12-26,Supplies,13608.89,Newspaper allow forward hour whom.,108,Paula Moore,34,Male,Lake Tinaland,34.02,22,Account question dinner.,2024-12-27,West Mike,496,27403.12,34,"Wilson, Jimenez and Savage",2024-08-24,2024-08-18,Collaboration,16906.41,Barbados,Nebraska
147,Meghan Scott,19,Female,West George,2475.37,2024-06-06,robinjohnson@mullins.net,85,Or which white.,2024-05-14,2024-05-21,Port Latoyachester,76764.74,John Santana,370,Shannon Trujillo,13,Male,Lake Mistyborough,630,2024-10-17,Training,33616.68,Including hot child investment yourself still.,189,Nicole King,62,Female,New Aaron,96.88,48,Better child.,2024-03-09,Scottchester,174,31699.01,35,"Coleman, Marshall and King",2024-05-02,2024-04-09,Sponsorship,71903.69,El Salvador,Washington
146,Jose Porter,59,Female,South Joseph,7929.35,2024-09-11,sanfordrobert@gmail.com,36,All.,2024-07-10,2024-09-20,Vaughanstad,471857.63,Kelly Peters,376,Karen Lopez,1,Female,Jasonchester,69,2024-03-26,Equipment,24042.19,Close paper pick.,128,Jeremiah Neal,27,Female,Pattonview,24.38,32,Remember rich yeah.,2024-10-28,West Sandraview,211,13657.15,35,"Huang, Davis and Shannon",2024-07-14,2024-02-24,Donation,7672.46,Cameroon,California
479,Andrew Burns,22,Male,East Courtneyshire,4816.08,2024-02-22,turnersamantha@yahoo.com,48,Girl.,2024-02-10,2024-12-08,New Ericaport,429592.71,Whitney Diaz,395,Paul Sullivan,7,Female,South Melissafort,443,2024-09-16,Equipment,19213.36,Thought certainly special seven physical court.,19,Julie Cox,46,Male,Johnmouth,81.31,9,Sound market best.,2024-08-15,Danielburgh,54,17119.22,43,Martin-Mcconnell,2024-09-14,2024-10-04,Sponsorship,36091.75,Brazil,Delaware
194,Garrett Cook,66,Male,East Dominiqueport,3911.97,2024-09-05,melaniemoore@miller.com,91,Anything season.,2024-05-31,2024-06-29,Alvaradoberg,477802.56,Brian Chen,428,Steven Campbell,4,Male,Port Julie,310,2024-11-24,Supplies,15120.11,Top most reflect shake phone.,166,Debbie Woodard,28,Male,East Danastad,72.54,44,Than probably before.,2024-07-19,Roblesport,244,41500.1,4,Bailey Group,2024-03-28,2024-12-26,Sponsorship,66547.27,Djibouti,California
65,Jessica Garcia,66,Male,North Marcus,5946.7,2024-03-18,donna59@gates.com,100,Adult range.,2024-12-22,2024-03-10,Jamesside,205401.29,Ashley Gonzales,57,Joseph Rice,18,Female,Bergmouth,623,2024-11-05,Equipment,22384.0,Dinner former manager mind scene.,7,Karen Taylor,23,Male,Port Devonville,29.72,4,Traditional property she.,2024-09-19,Port Jerryburgh,468,43809.35,24,Downs-Lynn,2024-08-28,2024-09-20,Collaboration,57870.44,Heard Island and McDonald Islands,Nebraska
